Year,country,state,admin1,admin2,admin3,Household_UUID,Crop Name,Quantity (kg),Lon,Lat,Area (Normalized)
2015,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tahtay Adiyabo,1.0101088801601002e+16,Maize,5.255999922752376,37.890876313,14.353816185,
2015,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tahtay Adiyabo,1.0101088801601002e+16,Red Pepper,2.0,37.890876313,14.353816185,
2015,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tahtay Adiyabo,1.0101088801601002e+16,Sorghum,350.0,37.890876313,14.353816185,
2015,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tahtay Adiyabo,1.0101088801601064e+16,Maize,8.75999987125396,37.890876313,14.353816185,
2015,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tahtay Adiyabo,1.010108880160108e+16,Sesame,1.5,37.890876313,14.353816185,
2015,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tahtay Adiyabo,1.010108880160108e+16,Maize,5.0,37.890876313,14.353816185,
2015,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tahtay Adiyabo,1.0101088801601116e+16,Maize,17.51999974250792,37.890876313,14.353816185,
2015,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tahtay Adiyabo,1.0101088801601116e+16,Sorghum,300.0,37.890876313,14.353816185,
2015,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tahtay Adiyabo,1.0101088801601116e+16,Red Pepper,16.850999832153303,37.890876313,14.353816185,
2015,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tahtay Adiyabo,1.0101088801601116e+16,Sesame,7.548000097274748,37.890876313,14.353816185,
2015,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tahtay Adiyabo,1.0101088801601116e+16,Millet,100.0,37.890876313,14.353816185,
2015,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tahtay Adiyabo,1.0101088801601116e+16,Millet,21.600000858306885,37.890876313,14.353816185,
2015,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tahtay Adiyabo,1.0101088801601116e+16,Sesame,5.328000068664528,37.890876313,14.353816185,
2015,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tahtay Adiyabo,1.0101088801601146e+16,Maize,40.0,37.890876313,14.353816185,
2015,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tahtay Adiyabo,1.0101088801601146e+16,Red Pepper,1.0,37.890876313,14.353816185,
2015,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tahtay Adiyabo,1.0101088801601146e+16,Sorghum,700.0,37.890876313,14.353816185,
2015,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tahtay Adiyabo,1.0101088801601146e+16,Millet,50.0,37.890876313,14.353816185,
2015,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tahtay Adiyabo,1.0101088801601146e+16,Sesame,87.0,37.890876313,14.353816185,
2015,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tahtay Adiyabo,1.0101088801601146e+16,Sorghum,100.0,37.890876313,14.353816185,
2015,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tahtay Adiyabo,1.0101088801601146e+16,Red Pepper,3.0,37.890876313,14.353816185,
2015,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Laelay Adiyabo,1.0102088801403016e+16,Maize,100.0,38.210251919,14.2885896726,
2015,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Laelay Adiyabo,1.0102088801403016e+16,Maize,300.0,38.210251919,14.2885896726,
2015,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Laelay Adiyabo,1.0102088801403016e+16,Teff,,38.210251919,14.2885896726,
2015,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Laelay Adiyabo,1.0102088801403016e+16,Chick Peas,,38.210251919,14.2885896726,
2015,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Laelay Adiyabo,1.0102088801403016e+16,Millet,,38.210251919,14.2885896726,
2015,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Laelay Adiyabo,1.0102088801403016e+16,Millet,,38.210251919,14.2885896726,
2015,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Laelay Adiyabo,1.0102088801403016e+16,Chick Peas,,38.210251919,14.2885896726,
2015,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Laelay Adiyabo,1.0102088801403016e+16,Teff,,38.210251919,14.2885896726,
2015,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Laelay Adiyabo,1.0102088801403016e+16,Teff,,38.210251919,14.2885896726,
2015,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Laelay Adiyabo,1.0102088801403016e+16,Teff,,38.210251919,14.2885896726,
2015,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Laelay Adiyabo,1.0102088801403026e+16,Maize,,38.210251919,14.2885896726,
2015,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Laelay Adiyabo,1.0102088801403026e+16,Millet,,38.210251919,14.2885896726,
2015,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Laelay Adiyabo,1.0102088801403026e+16,Teff,,38.210251919,14.2885896726,
