Year,country,state,admin1,admin2,admin3,Household_UUID,Crop Name,Quantity (kg),Lon,Lat,Area (Normalized)
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tahtay Adiyabo,1010101601002,Sorghum,600.0,37.890876313,14.353816185,7794207.2578125
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tahtay Adiyabo,1010101601002,Millet,200.0,37.890876313,14.353816185,90447.41015625
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tahtay Adiyabo,1010101601002,Millet,200.0,37.890876313,14.353816185,10160259.07421875
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tahtay Adiyabo,1010101601017,Millet,80.0,37.890876313,14.353816185,1999018.84765625
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tahtay Adiyabo,1010101601017,Sorghum,600.0,37.890876313,14.353816185,8562354.828125
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tahtay Adiyabo,1010101601101,Millet,100.0,37.890876313,14.353816185,2089466.2578125
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tahtay Adiyabo,1010101601101,Sesame,100.0,37.890876313,14.353816185,486318.68359375
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tahtay Adiyabo,1010101601101,Millet,200.0,37.890876313,14.353816185,6192370.515625
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tahtay Adiyabo,1010101601116,Maize,8.0,37.890876313,14.353816185,150745.68359375
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tahtay Adiyabo,1010101601116,Sesame,200.0,37.890876313,14.353816185,4198594.99609375
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tahtay Adiyabo,1010101601146,Maize,10.0,37.890876313,14.353816185,321153.84765625
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Laelay Adiyabo,1010201403001,Teff,170.0,38.210251919,14.2885896726,2543672.84082032
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Laelay Adiyabo,1010201403001,Millet,260.0,38.210251919,14.2885896726,9252339.738281276
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Laelay Adiyabo,1010201403011,Lineseed,8.0,38.210251919,14.2885896726,214374.6940917975
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Laelay Adiyabo,1010201403016,Maize,200.0,38.210251919,14.2885896726,8257929.392578149
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Laelay Adiyabo,1010201403026,Teff,70.0,38.210251919,14.2885896726,1399740.649658207
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Laelay Adiyabo,1010201403046,Barley,10.0,38.210251919,14.2885896726,149521.8454589848
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Laelay Adiyabo,1010201403046,Maize,250.0,38.210251919,14.2885896726,8789362.457763698
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Laelay Adiyabo,1010201403046,Teff,200.0,38.210251919,14.2885896726,9582008.385498075
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Laelay Adiyabo,1010201403061,Barley,30.0,38.210251919,14.2885896726,151323.31347656294
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Laelay Adiyabo,1010201403061,Barley,24.0,38.210251919,14.2885896726,212573.22607421936
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Laelay Adiyabo,1010201403061,Horse Beans,10.0,38.210251919,14.2885896726,216176.16210937564
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Laelay Adiyabo,1010201403106,Teff,100.0,38.210251919,14.2885896726,3538083.1865234477
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Medebay Zana,1010300106052,Maize,2.0,38.4738350524,14.1097608206,90073.40087890651
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Medebay Zana,1010300106136,Maize,7.0,38.4738350524,14.1097608206,333271.5832519541
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Medebay Zana,1010301804004,Maize,25.0,38.480325039499995,13.8440840301,502609.57690429833
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Medebay Zana,1010301804004,Teff,17.0,38.480325039499995,13.8440840301,497205.17285156396
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Medebay Zana,1010301804019,Teff,120.0,38.480325039499995,13.8440840301,3986648.7229004023
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Medebay Zana,1010301804034,Haricot Beans,30.0,38.480325039499995,13.8440840301,336874.51928711036
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Medebay Zana,1010301804034,Teff,100.0,38.480325039499995,13.8440840301,2995841.3132324307
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Medebay Zana,1010301804049,Millet,28.0,38.480325039499995,13.8440840301,958380.9853515653
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Medebay Zana,1010301804069,Horse Beans,16.0,38.480325039499995,13.8440840301,542241.8732910173
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Medebay Zana,1010301804085,Maize,75.0,38.480325039499995,13.8440840301,2122129.3247070373
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Medebay Zana,1010301804115,Maize,10.0,38.480325039499995,13.8440840301,225183.50219726627
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Medebay Zana,1010301804115,Millet,25.0,38.480325039499995,13.8440840301,648528.4863281269
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Medebay Zana,1010301804130,Maize,500.0,38.480325039499995,13.8440840301,13170532.676513711
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Medebay Zana,1010301804130,Haricot Beans,40.0,38.480325039499995,13.8440840301,311653.96704101656
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Medebay Zana,1010301804130,Teff,125.0,38.480325039499995,13.8440840301,3480436.2099609477
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Medebay Zana,1010301804145,Horse Beans,12.0,38.480325039499995,13.8440840301,131507.1652832035
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Medebay Zana,1010301804145,Sorghum,400.0,38.480325039499995,13.8440840301,7418445.29638674
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Asgede Tsimbila,1010500204001,Maize,20.0,37.9831865445,14.0862760222,121907.37890625
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Asgede Tsimbila,1010500204025,Sorghum,250.0,37.9831865445,14.0862760222,2051452.12890625
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Asgede Tsimbila,1010500204025,Sesame,15.0,37.9831865445,14.0862760222,1507456.8359375
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Asgede Tsimbila,1010500204073,Maize,6.0,37.9831865445,14.0862760222,44568.2890625
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Asgede Tsimbila,1010500204073,Sorghum,150.0,37.9831865445,14.0862760222,939866.56640625
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Asgede Tsimbila,1010500204097,Millet,125.0,37.9831865445,14.0862760222,1371130.3046875
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Asgede Tsimbila,1010500204121,Maize,150.0,37.9831865445,14.0862760222,802229.203125
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Asgede Tsimbila,1010500204121,Sesame,125.0,37.9831865445,14.0862760222,2134034.546875
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Asgede Tsimbila,1010500204193,Millet,150.0,37.9831865445,14.0862760222,1242668.765625
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Asgede Tsimbila,1010500204217,Sorghum,800.0,37.9831865445,14.0862760222,5615604.421875
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tselemti,1010600402021,Sorghum,2600.0,38.119182234499995,13.642517175999998,7640839.91015625
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tselemti,1010600402021,Sesame,100.0,38.119182234499995,13.642517175999998,2160251.1875
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tselemti,1010600402021,Teff,575.0,38.119182234499995,13.642517175999998,3882684.4765625
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tselemti,1010600402039,Maize,235.0,38.119182234499995,13.642517175999998,1143045.53125
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tselemti,1010600402039,Teff,300.0,38.119182234499995,13.642517175999998,1626742.55078125
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tselemti,1010600402057,Sesame,10.0,38.119182234499995,13.642517175999998,3545800.64453125
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tselemti,1010600402057,Nueg,17.0,38.119182234499995,13.642517175999998,3922009.4375
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tselemti,1010600402075,Maize,300.0,38.119182234499995,13.642517175999998,1622810.0546875
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tselemti,1010600402112,Teff,370.0,38.119182234499995,13.642517175999998,1717189.9609375
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tselemti,1010600402112,Nueg,6.0,38.119182234499995,13.642517175999998,301491.3671875
2011,Ethiopia,Tigray,Tigray,Semien Mi'irabaw,Tselemti,1010600402148,Millet,1190.0,38.119182234499995,13.642517175999998,3350486.671875
2011,Ethiopia,Tigray,Tigray,Mehakelegnaw,Tahtay Maychew,1020100207002,Teff,14.0,38.5730157222,14.283467919300001,
2011,Ethiopia,Tigray,Tigray,Mehakelegnaw,Tahtay Maychew,1020100207002,Millet,620.0,38.5730157222,14.283467919300001,
2011,Ethiopia,Tigray,Tigray,Mehakelegnaw,Tahtay Maychew,1020100207012,Maize,15.0,38.5730157222,14.283467919300001,6469.48779296876
2011,Ethiopia,Tigray,Tigray,Mehakelegnaw,Tahtay Maychew,1020100207012,Sorghum,25.0,38.5730157222,14.283467919300001,336413.3652343755
2011,Ethiopia,Tigray,Tigray,Mehakelegnaw,Tahtay Maychew,1020100207017,Teff,56.0,38.5730157222,14.283467919300001,
2011,Ethiopia,Tigray,Tigray,Mehakelegnaw,Tahtay Maychew,1020100207027,Barley,14.0,38.5730157222,14.283467919300001,
2011,Ethiopia,Tigray,Tigray,Mehakelegnaw,Tahtay Maychew,1020100207047,Maize,39.0,38.5730157222,14.283467919300001,339648.1091308599
2011,Ethiopia,Tigray,Tigray,Mehakelegnaw,Tahtay Maychew,1020100207077,Millet,192.0,38.5730157222,14.283467919300001,
2011,Ethiopia,Tigray,Tigray,Mehakelegnaw,Tahtay Maychew,1020100207092,Maize,9.0,38.5730157222,14.283467919300001,
2011,Ethiopia,Tigray,Tigray,Mehakelegnaw,Tahtay Maychew,1020100207092,Barley,6.0,38.5730157222,14.283467919300001,
2011,Ethiopia,Tigray,Tigray,Mehakelegnaw,Tahtay Maychew,1020100207092,Sorghum,190.0,38.5730157222,14.283467919300001,
2011,Ethiopia,Tigray,Tigray,Mehakelegnaw,Tahtay Maychew,1020100207107,Millet,296.0,38.5730157222,14.283467919300001,
2011,Ethiopia,Tigray,Tigray,Mehakelegnaw,Tahtay Maychew,1020100207122,Millet,327.0,38.5730157222,14.283467919300001,
2011,Ethiopia,Tigray,Tigray,Mehakelegnaw,Ahferom,1020200802002,Maize,75.0,39.0594892637,14.300795946700001,
2011,Ethiopia,Tigray,Tigray,Mehakelegnaw,Ahferom,1020200802002,Barley,25.0,39.0594892637,14.300795946700001,
